epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,1618.21,2.35239,6.47574,1.67494,0.5961,0.04301,0.02334,0.00704,2.93539,9.45299,1.93701,4.13375e-05,4.13375e-05,4.13375e-05
37,1662.25,2.35313,6.3504,1.66314,0.59456,0.04762,0.02137,0.0066,2.93083,9.22129,1.94131,4.109e-05,4.109e-05,4.109e-05
38,1706.34,2.37137,6.26144,1.68337,0.59854,0.04608,0.02448,0.00719,2.94162,9.1999,1.94071,4.08425e-05,4.08425e-05,4.08425e-05
39,1750.66,2.3731,6.36555,1.68368,0.60242,0.04762,0.0283,0.00903,2.96407,9.19662,1.95643,4.0595e-05,4.0595e-05,4.0595e-05
40,1794.82,2.3598,6.26009,1.6758,0.5954,0.0384,0.02633,0.00791,2.99701,9.34283,1.96582,4.03475e-05,4.03475e-05,4.03475e-05
41,1838.96,2.35514,6.25342,1.66942,0.60242,0.0384,0.02622,0.00746,2.94852,9.50157,1.95757,4.01e-05,4.01e-05,4.01e-05
42,1882.86,2.36934,6.17671,1.67346,0.60655,0.03533,0.02734,0.00819,2.94063,9.02603,1.94524,3.98525e-05,3.98525e-05,3.98525e-05
43,1927.34,2.34346,6.15113,1.671,0.59471,0.05684,0.02653,0.00868,2.94507,9.07014,1.95385,3.9605e-05,3.9605e-05,3.9605e-05
44,1973.52,2.32112,6.04575,1.65886,0.59453,0.04301,0.02454,0.00775,2.97339,9.27685,1.95972,3.93575e-05,3.93575e-05,3.93575e-05
45,2017.83,2.32145,6.10281,1.67134,0.60905,0.02746,0.0228,0.00755,2.95759,9.64528,1.94759,3.911e-05,3.911e-05,3.911e-05
46,2062.18,2.32779,6.10583,1.64418,0.59868,0.04762,0.02927,0.0077,2.9849,9.45122,1.95476,3.88625e-05,3.88625e-05,3.88625e-05
47,2106.76,2.29681,5.96319,1.64315,0.59919,0.0415,0.02502,0.00724,3.03845,9.77144,1.96367,3.8615e-05,3.8615e-05,3.8615e-05
48,2150.82,2.33331,5.99839,1.66003,0.5986,0.04112,0.02807,0.00778,3.03674,9.45006,1.968,3.83675e-05,3.83675e-05,3.83675e-05
49,2195.16,2.30393,5.90392,1.65033,0.60655,0.04301,0.0278,0.00824,2.98857,9.15533,1.96017,3.812e-05,3.812e-05,3.812e-05
50,2239.44,2.325,5.86971,1.65482,0.59857,0.02765,0.02088,0.00699,3.01832,9.55449,1.97652,3.78725e-05,3.78725e-05,3.78725e-05
51,2284.4,2.31789,5.85757,1.65421,0.60841,0.02919,0.02347,0.00776,3.00427,9.33778,1.97078,3.7625e-05,3.7625e-05,3.7625e-05
52,2329.26,2.32521,6.02639,1.65769,0.61009,0.03226,0.02722,0.00763,2.9745,9.3537,1.96309,3.73775e-05,3.73775e-05,3.73775e-05
53,2373.85,2.27824,5.93378,1.6457,0.59387,0.04455,0.02361,0.0069,3.00196,9.44608,1.98068,3.713e-05,3.713e-05,3.713e-05
54,2418.67,2.27593,5.80421,1.63571,0.60431,0.02919,0.02445,0.00759,3.05502,9.52149,1.996,3.68825e-05,3.68825e-05,3.68825e-05
55,2463.96,2.28845,5.78113,1.64741,0.59787,0.05223,0.0213,0.00699,2.97717,9.28547,1.97188,3.6635e-05,3.6635e-05,3.6635e-05
56,2507.89,2.27388,5.82306,1.63524,0.59995,0.04608,0.02226,0.00632,2.99951,9.43734,1.99337,3.63875e-05,3.63875e-05,3.63875e-05
57,2552.47,2.24012,5.79069,1.61979,0.60788,0.03072,0.02171,0.00708,2.99562,9.55537,1.97747,3.614e-05,3.614e-05,3.614e-05
58,2596.65,2.29793,5.72181,1.6502,0.60208,0.03687,0.02517,0.00784,3.01218,9.38786,1.97667,3.58925e-05,3.58925e-05,3.58925e-05
59,2642.24,2.26883,5.64537,1.63677,0.61102,0.03226,0.02983,0.00873,3.02943,9.35517,1.9642,3.5645e-05,3.5645e-05,3.5645e-05
60,2687.34,2.22816,5.63073,1.61345,0.60489,0.02919,0.02461,0.00786,2.9931,9.3805,1.96523,3.53975e-05,3.53975e-05,3.53975e-05
61,2731.75,2.26212,5.63141,1.63126,0.60064,0.03687,0.02319,0.00763,2.99016,9.68376,1.96554,3.515e-05,3.515e-05,3.515e-05
62,2775.83,2.23844,5.49131,1.6256,0.59946,0.03687,0.02338,0.0077,2.98129,9.59689,1.97637,3.49025e-05,3.49025e-05,3.49025e-05
63,2820.73,2.2573,5.63053,1.63787,0.60555,0.0429,0.02772,0.00816,2.98162,9.42232,1.97298,3.4655e-05,3.4655e-05,3.4655e-05
64,2865.24,2.23781,5.55276,1.61,0.60285,0.03687,0.02395,0.00654,3.01457,9.93871,1.97464,3.44075e-05,3.44075e-05,3.44075e-05
65,2909.39,2.22487,5.47399,1.61202,0.60462,0.03994,0.02409,0.00732,2.98591,9.85479,1.98103,3.416e-05,3.416e-05,3.416e-05
66,2953.58,2.22169,5.48745,1.60744,0.60413,0.03072,0.02625,0.00817,2.99694,9.59536,1.96924,3.39125e-05,3.39125e-05,3.39125e-05
67,2999,2.22118,5.44601,1.6061,0.60326,0.03687,0.02461,0.00711,2.99234,9.58315,1.96096,3.3665e-05,3.3665e-05,3.3665e-05
68,3044.24,2.22228,5.48844,1.60655,0.45149,0.04608,0.02434,0.0075,3.03619,9.54691,1.98935,3.34175e-05,3.34175e-05,3.34175e-05
69,3088.21,2.20788,5.39158,1.60562,0.44867,0.04956,0.02543,0.00739,3.10405,9.92779,2.02434,3.317e-05,3.317e-05,3.317e-05
70,3132.59,2.19796,5.44618,1.59548,0.5985,0.03072,0.02508,0.00713,3.0929,9.61878,2.02147,3.29225e-05,3.29225e-05,3.29225e-05
71,3176.61,2.20386,5.34807,1.60043,0.60628,0.03687,0.02543,0.00716,3.04804,9.73901,2.01567,3.2675e-05,3.2675e-05,3.2675e-05
72,3220.87,2.18632,5.33776,1.59975,0.59665,0.03533,0.02349,0.00664,3.03227,10.0373,2.00228,3.24275e-05,3.24275e-05,3.24275e-05
73,3265.9,2.15795,5.28887,1.5769,0.60162,0.03294,0.02431,0.00677,3.04271,9.5365,1.99316,3.218e-05,3.218e-05,3.218e-05
74,3310.7,2.20378,5.32273,1.60092,0.59798,0.04608,0.02809,0.00846,3.0615,9.8489,2.01648,3.19325e-05,3.19325e-05,3.19325e-05
75,3356.61,2.15461,5.16339,1.58017,0.60468,0.0384,0.0256,0.00794,3.05619,10.0076,1.98712,3.1685e-05,3.1685e-05,3.1685e-05
