epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8261,2.79395,9.90091,1.92538,0.16445,0.01935,0.01105,0.0037,3.03035,9.90855,2.03217,0.0668793,1.65686e-05,1.65686e-05
2,91.8877,2.67313,9.13436,1.87857,0.16492,0.01935,0.01524,0.00512,2.82172,9.87107,1.92922,0.0335622,3.2824e-05,3.2824e-05
3,140.564,2.65771,8.79169,1.86018,0.31274,0.02976,0.01826,0.00586,2.84378,9.54657,1.94035,0.000244745,4.86669e-05,4.86669e-05
4,185.261,2.61387,8.67081,1.8393,0.4644,0.03274,0.02082,0.00642,2.825,9.46439,1.94568,4.81438e-05,4.81438e-05,4.81438e-05
5,231.113,2.60256,8.50596,1.84365,0.46368,0.03125,0.02306,0.00707,2.80136,9.41151,1.9373,4.7525e-05,4.7525e-05,4.7525e-05
6,276.562,2.61119,8.42736,1.83192,0.46345,0.03274,0.0244,0.00765,2.79182,9.23466,1.92521,4.69062e-05,4.69062e-05,4.69062e-05
7,321.626,2.59666,8.44909,1.82334,0.45969,0.0372,0.02339,0.00767,2.80408,9.2323,1.93032,4.62875e-05,4.62875e-05,4.62875e-05
8,366.688,2.57239,8.3564,1.81915,0.45392,0.03423,0.02245,0.00711,2.81741,9.0856,1.93057,4.56688e-05,4.56688e-05,4.56688e-05
9,411.526,2.55231,8.29289,1.8151,0.45333,0.03423,0.02397,0.0075,2.79001,9.1107,1.9112,4.505e-05,4.505e-05,4.505e-05
10,459.803,2.54452,8.28459,1.81004,0.45208,0.0372,0.02279,0.0074,2.81047,9.08548,1.91529,4.44312e-05,4.44312e-05,4.44312e-05
11,504.49,2.53298,8.21579,1.79268,0.45256,0.03423,0.02523,0.00783,2.81969,9.23037,1.91718,4.38125e-05,4.38125e-05,4.38125e-05
12,550.625,2.54732,8.13173,1.79432,0.45599,0.04018,0.02259,0.00749,2.82061,9.03782,1.89679,4.31938e-05,4.31938e-05,4.31938e-05
13,594.945,2.54925,8.01731,1.79311,0.45329,0.04017,0.02135,0.00706,2.82218,9.05363,1.91238,4.2575e-05,4.2575e-05,4.2575e-05
14,639.071,2.5343,8.00562,1.78666,0.45322,0.03274,0.02117,0.00717,2.82036,9.05275,1.91306,4.19563e-05,4.19563e-05,4.19563e-05
15,683.455,2.517,7.95037,1.78093,0.45954,0.04613,0.02135,0.00659,2.8383,9.11261,1.90341,4.13375e-05,4.13375e-05,4.13375e-05
16,730.822,2.5236,7.921,1.76648,0.45574,0.03125,0.0245,0.00804,2.82617,9.04269,1.90035,4.07187e-05,4.07187e-05,4.07187e-05
17,776.774,2.52538,7.94663,1.78282,0.46037,0.02827,0.02532,0.00818,2.82217,9.01134,1.90053,4.01e-05,4.01e-05,4.01e-05
18,822.94,2.51007,7.78117,1.76914,0.46057,0.03869,0.02555,0.00776,2.85401,9.03883,1.91522,3.94813e-05,3.94813e-05,3.94813e-05
19,868.654,2.51234,7.76214,1.77452,0.461,0.03423,0.0251,0.00821,2.86839,9.05986,1.92312,3.88625e-05,3.88625e-05,3.88625e-05
20,914.649,2.48752,7.7791,1.76755,0.45534,0.04427,0.02281,0.00698,2.86794,9.15971,1.91143,3.82437e-05,3.82437e-05,3.82437e-05
21,959.412,2.48054,7.68999,1.76037,0.46498,0.02953,0.02429,0.0076,2.88714,9.02031,1.92614,3.7625e-05,3.7625e-05,3.7625e-05
22,46.6212,2.49932,7.59352,1.78269,0.45687,0.03124,0.02476,0.00816,2.9212,8.73198,1.92845,3.70063e-05,3.70063e-05,3.70063e-05
23,90.5394,2.49991,7.48465,1.76495,0.4564,0.03274,0.02457,0.00823,2.91077,8.76,1.91606,3.63875e-05,3.63875e-05,3.63875e-05
24,136.835,2.4933,7.41456,1.75058,0.45972,0.03274,0.0263,0.00813,2.92183,8.94119,1.92593,3.57687e-05,3.57687e-05,3.57687e-05
25,184.69,2.49211,7.29821,1.74557,0.45601,0.04018,0.0262,0.00841,2.9255,8.78202,1.93201,3.515e-05,3.515e-05,3.515e-05
26,228.667,2.46189,7.24229,1.73629,0.60351,0.03125,0.02652,0.00941,2.88779,9.28285,1.92804,3.45313e-05,3.45313e-05,3.45313e-05
27,272.86,2.49493,7.29188,1.74723,0.60488,0.04167,0.02822,0.00946,2.86419,8.97186,1.89736,3.39125e-05,3.39125e-05,3.39125e-05
28,317.08,2.49759,7.22908,1.73723,0.60266,0.0372,0.02754,0.00934,2.8953,9.02455,1.92313,3.32937e-05,3.32937e-05,3.32937e-05
29,359.83,2.45275,7.24645,1.74175,0.60712,0.03869,0.0287,0.00952,2.86499,8.91642,1.91202,3.2675e-05,3.2675e-05,3.2675e-05
30,403.85,2.45262,7.1313,1.7338,0.60273,0.03869,0.02739,0.00952,2.8978,8.95261,1.91922,3.20562e-05,3.20562e-05,3.20562e-05
31,448.951,2.43925,7.10737,1.7436,0.61521,0.02976,0.02984,0.01076,2.91996,8.93732,1.92372,3.14375e-05,3.14375e-05,3.14375e-05
32,496.831,2.41972,7.12507,1.72965,0.61824,0.02393,0.02425,0.00918,2.88867,9.01382,1.91473,3.08188e-05,3.08188e-05,3.08188e-05
33,541.485,2.44658,7.07089,1.73539,0.60757,0.03125,0.02475,0.00899,2.89071,9.02445,1.92121,3.02e-05,3.02e-05,3.02e-05
34,585.003,2.43485,6.97012,1.72989,0.60155,0.04167,0.02213,0.00794,2.92726,9.10941,1.94227,2.95813e-05,2.95813e-05,2.95813e-05
35,629.296,2.43479,6.94275,1.72275,0.59803,0.04762,0.02108,0.00745,2.91856,9.06742,1.9313,2.89625e-05,2.89625e-05,2.89625e-05
36,672.76,2.40838,6.86734,1.72943,0.59638,0.04464,0.01926,0.00699,2.95543,9.33395,1.93533,2.83438e-05,2.83438e-05,2.83438e-05
37,716.46,2.40191,6.90878,1.71466,0.60225,0.04315,0.03076,0.00882,2.95271,9.17737,1.94653,2.7725e-05,2.7725e-05,2.7725e-05
38,762.246,2.44017,6.91559,1.73768,0.59921,0.04167,0.02132,0.00817,2.94439,9.11678,1.9355,2.71062e-05,2.71062e-05,2.71062e-05
39,806.259,2.41461,6.68876,1.71131,0.60184,0.0372,0.02236,0.00813,2.96816,9.23878,1.95214,2.64875e-05,2.64875e-05,2.64875e-05
40,848.822,2.40046,6.76709,1.71248,0.59963,0.03869,0.02427,0.00835,2.96763,9.16515,1.95734,2.58687e-05,2.58687e-05,2.58687e-05
41,891.588,2.37555,6.76002,1.7026,0.60086,0.03571,0.02111,0.00755,2.9691,9.32846,1.95051,2.525e-05,2.525e-05,2.525e-05
42,934.767,2.36805,6.68934,1.70296,0.60234,0.04018,0.02361,0.00814,2.99389,9.27511,1.96055,2.46313e-05,2.46313e-05,2.46313e-05
43,977.892,2.44213,7.00839,1.7273,0.60155,0.03571,0.02375,0.00782,2.98733,9.14952,1.96574,2.40125e-05,2.40125e-05,2.40125e-05
44,1022.14,2.45345,7.00815,1.74142,0.60249,0.04464,0.02473,0.00807,2.9658,8.95804,1.95967,2.33938e-05,2.33938e-05,2.33938e-05
45,1070.52,2.45905,6.98545,1.74225,0.60215,0.04018,0.02556,0.00841,2.9585,8.99893,1.94613,2.2775e-05,2.2775e-05,2.2775e-05
46,1114.77,2.46446,6.92528,1.73108,0.60177,0.03869,0.0244,0.00888,2.95486,9.05146,1.94413,2.21562e-05,2.21562e-05,2.21562e-05
47,1158.86,2.43108,6.87491,1.72728,0.60125,0.03869,0.02437,0.00844,2.97592,9.07472,1.95708,2.15375e-05,2.15375e-05,2.15375e-05
